Protein_ID,Cluster
BC.1,2
BC.2,2
BC.3,1
BC.4,1
BC.5,0
BC.6,0
BC.7,0
BC.8,0
BC.9,0
BC.10,0
BC.11,0
BC.12,0
BC.13,2
BC.14,2
BC.15,1
BC.16,1
BC.17,0
BC.18,0
BC.19,0
BC.20,0
BC.21,0
BC.22,0
BC.23,0
BC.24,2
BC.25,1
BC.26,1
BC.27,1
BC.28,1
BC.29,0
BC.30,0
BC.31,0
BC.32,0
BC.33,0
BC.34,0
BC.35,2
BC.36,2
BC.37,1
BC.38,1
BC.39,1
BC.40,1
BC.41,0
BC.42,0
BC.43,0
BC.44,0
BC.45,0
BC.46,2
BC.47,1
BC.48,1
BC.49,1
BC.50,1
BC.51,1
BC.52,1
BC.53,1
BC.54,1
BC.55,1
BC.56,1
BC.57,2
BC.58,2
BC.59,1
BC.60,1
BC.61,1
BC.62,1
BC.63,1
BC.64,1
BC.65,1
BC.66,1
BC.67,1
BC.68,2
BC.69,1
BC.70,1
BC.71,1
BC.72,1
BC.73,1
BC.74,1
BC.75,1
BC.76,1
BC.77,1
BC.78,1
BC.79,2
BC.80,2
BC.81,1
BC.82,1
BC.83,1
BC.84,1
BC.85,1
BC.86,1
BC.87,1
BC.88,1
BC.89,1
BC.90,2
BC.91,1
BC.92,1
BC.93,1
BC.94,1
BC.95,1
BC.96,1
BC.97,1
BC.98,1
BC.99,1
BC.100,1
BC.101,2
BC.102,2
BC.103,1
BC.104,1
BC.105,1
BC.106,1
BC.107,1
BC.108,1
BC.109,1
BC.110,1
BC.111,1
BC.112,2
BC.113,1
BC.114,1
BC.115,1
BC.116,1
BC.117,1
BC.118,1
BC.119,1
BC.120,1
BC.121,1
BC.122,1
BC.123,2
BC.124,2
BC.125,1
BC.126,1
BC.127,1
BC.128,1
BC.129,1
BC.130,1
BC.131,1
BC.132,1
BC.133,1
BC.134,2
BC.135,1
BC.136,1
BC.137,1
BC.138,1
BC.139,1
BC.140,1
