Feature,Importance
RPL19,0.02649405155196763
SEC24A,0.022729204737866243
SLFN5,0.014703389500191526
IGLV5-45,0.014699375887123027
NINJ1,0.01462195102972236
EIF4G2,0.014606088124081842
DOCK1,0.014566687130088511
PLCG2,0.013634169843988235
MRPS36,0.013402027817986176
UBA5,0.013276191522055449
HMOX1,0.013099935033716101
CEACAM7,0.012040690169515963
SNX9,0.011944251679160016
CALML5,0.011098928617989693
HLA-DQB1,0.010981384830890806
DDX46,0.01078112586196692
SEC11C,0.010755118116177433
NCKAP1L,0.010639526624608238
ITGAM,0.010532279192024437
FCGBP,0.01006642949075524
HTATIP2,0.009970468376774984
SELENOF,0.00993510985968935
PPIC,0.009883174586260611
PODN,0.009621895205646148
VKORC1L1,0.009419981928154877
FAM107B,0.008835284070023146
CD3E,0.008781215685131707
CARM1,0.008723679841497278
FKBP5,0.008510860373951445
RBM12,0.008372122300297926
THOP1,0.008282458879714244
MAPRE2,0.007981318982124
FAHD2A,0.007787690705920653
MRPL41,0.006740590501451416
THEM4,0.006531128726138629
IGHA1,0.006199453041997093
DUSP3,0.006051156204335576
DERL3,0.00590569525047356
FKBP11,0.005892841384972885
COL4A1,0.005853859029447957
GM2A,0.0058383899011299634
SH3BGRL,0.0057929985460449755
PIP4K2A,0.005568386753997449
WDR77,0.005518750021433629
GIMAP4,0.005456378796346325
AMPD3,0.005440480502847
ANKRD13A,0.005394007280837194
SMARCA5,0.005369066840887409
BCAS1,0.005342847151907607
PRELP,0.005257442387966212
RPL3,0.005249765211872866
PLEKHO2,0.0052438660197685625
IGHV4-28,0.005204872307734176
DDX5,0.0051772401485123765
SPCS3,0.005132953006972963
RFTN1,0.005094525403889233
OGFR,0.005029371598712465
MZB1,0.00501569893771125
MRPS27,0.005015288918351563
IGKV1-27,0.005005175348268926
RAB5A,0.0049723211467468135
OLFM4,0.004923545601552606
SF3A3,0.004918632075471699
TERF2IP,0.004876801344244241
CTBP2,0.004796998427339961
HBG2,0.004743593397879548
CAMP,0.004704624242494246
MOCS2,0.0046837766251643905
PIGR,0.004672741908081344
ARHGDIB,0.0046720753114525065
CARD16,0.004671597328937052
OMD,0.004625183488898133
NNMT,0.0045578176336369515
SUPT16H,0.004555558713043854
IDH3B,0.004471227202003606
UBE2A,0.004470070975441241
PARP14,0.004465673895170227
CWF19L1,0.004432777657501623
SERPINA4,0.004422464374196084
CEACAM1,0.004419134627894873
GSTA3,0.004360820656421424
SH3PXD2B,0.0043276074784094135
PRG2,0.004245277015177645
STAT5A,0.004243630474824768
ITGA2B,0.00419068549005853
ACOT1,0.0041511194839381526
LPA,0.0041256741068374245
PYCARD,0.0041113239760012295
CEACAM5,0.004088958619541233
TAP1,0.004068804910982495
GORASP2,0.0040639266542918774
BGN,0.0040376436780568134
MRPL40,0.004012891696263995
LY75,0.003982399324294787
CLCA4,0.003976772131298245
COLGALT1,0.003969673207466627
GBP2,0.0039342817757316104
ISG20,0.0039339358400838275
GLS,0.003911771196584244
MMP9,0.00390630111889027
IGHV2-26,0.0039055085570697725
STT3A,0.003870397779833487
NT5E,0.003850481761871987
TNFAIP8,0.0038463010115549414
CKB,0.0038212184082587965
HSPB6,0.0037254905312386222
PMM2,0.0037225409632598793
GIT2,0.0036872786859896743
MYO18A,0.0036823728185063683
CD3D,0.0036482850750721757
NCEH1,0.0036375476196919276
SQOR,0.0036306323844322286
HAAO,0.0035928114254211445
IGKV1-17,0.0035512013539643434
COA3,0.0035381818181818197
MCM3,0.003537772620321236
CSK,0.0035257238573821502
ACP1,0.003496271026143961
NCF1,0.0034688010102907505
MEMO1,0.0034449674768914757
RAB31,0.003438008082142241
RAB3GAP2,0.003417517852300461
ZADH2,0.003406015310119277
IGLV3-19,0.0033891507443304476
HAL,0.0033678603744220197
PPP4C,0.0033402811605446102
PGAM1,0.0033234265222482446
PICALM,0.003307054845063095
TIMM8B,0.003275544366719259
ENPP4,0.00323785965445755
ECE1,0.0031977118760952287
ICAM1,0.0031784254197106763
IGLV2-11,0.0031782210099632513
ATP2A3,0.0031322764254894404
HLA-DRB3,0.003061306210707565
SYNPO,0.003051101162025738
CORO1A,0.0030150753768844202
CD2AP,0.002967920606757786
RPL13,0.0028848736733526727
KCNAB2,0.0028642424242424254
ADAM10,0.002851251903231264
GARS1,0.002799881472405712
MANF,0.0026860079924282266
ECI1,0.0026232143704343785
IGLV7-46,0.0025785264769037602
STRAP,0.0025703516063949315
MCTS1,0.0024485566618742817
IGHG4,0.002434587057456397
AHNAK2,0.002389367946601685
RPRD1B,0.002231259029375569
MRPL38,0.0020858426142969576
ERH,0.00200230809729178
SSR1,0.0019365918743957772
YTHDF2,0.001881238369142277
H1-5,0.001615205843293492
PPME1,0.0016120529689608643
EIF4G3,0.0015379886894516842
CYB5R3,0.0015201902190837557
MSR1,0.0014855272288507738
STX7,0.0014732684379091564
SHBG,0.0014631044608009857
HGFAC,0.0014567795719974401
GNPDA1,0.0013900894209569036
ATG7,0.0013238095238095238
FCN3,0.0013132520083934038
CDIPT,0.001255440550893379
ISOC1,0.0011983703870121947
GPI,0.0011681103879308062
ATP5PD,0.0011583893753931008
MMP8,0.0011532508974870367
SIAE,0.0011284527069222272
SDF2L1,0.0011282467532467532
DSC1,0.001071019379374297
GPNMB,0.0010641148325358854
ARFGAP3,0.0010641148325358852
CTTN,0.001053450339050658
IFI30,0.0010447912087912087
PCYT1A,0.0010262089331856774
FARSA,0.0010198633939130647
NHLRC2,0.0010046419098143227
IMMT,0.0010022415367757162
MAGOHB,0.0009587371424985098
PHF5A,0.0009567072751049626
ASPN,0.000946363021702176
RPS27,0.0009374031651726912
SDHB,0.0009366345202769525
ARSA,0.0009217506631299735
ATL3,0.0009154457642002124
HLA-H,0.0009092219826088069
PRKG1,0.0009024198308085775
DYNLL1,0.0008537306642402185
SUMF2,0.000838793103448276
EIF2A,0.0008097536617842876
YBX1,0.0008046342661078134
S100A12,0.0007800625018339741
VAMP5,0.0007668324279545422
APOA4,0.0007595628415300547
HNRNPD,0.0007432914182006742
DYNC1LI1,0.0007422520452988344
HSD17B2,0.0007177280550774528
BRK1,0.0007024907689119274
COL4A2,0.0007020792996043437
VAPA,0.0007007461181689856
DTYMK,0.0006968616362647522
MAPK13,0.0006953216004021247
GALE,0.0006949875895073303
ATP6V1C1,0.0006944626182120978
GMFB,0.0006928038119162264
SNX3,0.0006910916419279322
ITGA6,0.0006910838581372224
QKI,0.0006901556383080304
DCTN2,0.000685168234228915
HK3,0.0006825770968375564
LNPEP,0.0006812690660287725
PDAP1,0.00067780959495352
NID1,0.000676896340997633
EXOSC6,0.0006652309164871983
NPM1,0.000655467138225759
