Feature,ANOVA F-value,ANOVA p-value,Mutual Information
ARSA,205.43315438190626,8.030199354951232e-42,0.6354929134787677
CTBP2,203.16839214639504,1.4136749865492054e-41,0.5805337159911594
S100A12,193.6893225524145,1.5891242886323102e-40,0.6271455653832181
PODN,191.7119109389932,2.661699707595449e-40,0.6156151493563993
FKBP11,184.16571035268456,1.97676927258568e-39,0.5533458738676991
MYO18A,180.79340414626267,4.9381402322657255e-39,0.5720190946318084
WDR77,180.31336843254215,5.631176990007912e-39,0.6142510351102997
FCN3,175.3053940236937,2.2505461931182147e-38,0.6124687354186182
SLFN5,165.6176379192235,3.5663447649180426e-37,0.6221749963838721
SEC11C,164.8734708789607,4.430420648962932e-37,0.5974885979659326
SNX9,162.7626299052624,8.229120816597768e-37,0.6058904523338313
SPCS1,158.85126617215153,2.631503460081204e-36,0.5248844948598004
ISG20,157.43574112135732,4.027704671599437e-36,0.5676028862061024
MRPS36,156.99347916517726,4.6031033604857704e-36,0.5880557047200896
MZB1,155.65961954046873,6.89684556979188e-36,0.6092120171756537
FKBP5,151.7165530198261,2.3117306122764198e-35,0.6402124345651952
ST14,151.1934600701746,2.718502840164155e-35,0.57649977596633
CEACAM7,148.7390554758631,5.84625920594751e-35,0.6154917715351795
UBA5,143.06301200398923,3.5528847633595903e-34,0.5408438349017932
RPL28,140.1286644141876,9.20528091892829e-34,0.5335410505358968
SLC25A1,138.56032099122703,1.5396318157603812e-33,0.4982970179922872
IGFBP2,133.7006248787151,7.771654652745419e-33,0.52380720391439
DDX5,132.37186586398263,1.2181691134609572e-32,0.496683529469256
RPL23,131.94789020740697,1.4068956922415767e-32,0.5694995606243771
SPCS2,131.74291239381486,1.5085244939036797e-32,0.4634754427053418
IGKV1-17,130.8318962127614,2.0585165919686857e-32,0.5510738616231388
IGLV5-45,128.03806301179853,5.388385735020518e-32,0.5034383674389036
HTATIP2,125.54171257167533,1.2880557167248416e-31,0.5498582448407201
PRG4,125.39448652156548,1.3564632650986618e-31,0.49750548428281394
FCGBP,124.09177474871481,2.1478787900358446e-31,0.5532050456722954
FAHD2A,124.03208260061814,2.193755462820016e-31,0.5578299678316399
DOCK1,123.62857242431426,2.5310929561828006e-31,0.5576841613197205
AEBP1,121.76521543646872,4.918998965029906e-31,0.4987903075189546
ITGAM,119.78268018318269,1.004684715659137e-30,0.4903194416312897
PRG2,117.7374649657187,2.1156271228301805e-30,0.5292588827942541
HSPA13,116.11458122985788,3.8424614601558314e-30,0.5017285872850157
IGKV2-24,112.78912024828936,1.3270590494178178e-29,0.4287736212696893
ZADH2,112.64856349617952,1.399133702520573e-29,0.5192445795429521
MAPK13,112.05653942969194,1.749044785454843e-29,0.5001344525588876
STAT5A,111.44686458590449,2.2027570558340677e-29,0.5300618645273665
AMPD3,110.09584744567128,3.682545428266491e-29,0.5108484282751191
SCLT1,109.47017554045748,4.6782163290241636e-29,0.5113072304314121
IGHV2-26,109.43738934869091,4.7373624053016615e-29,0.5200047068617732
BCAS1,109.20840204747984,5.172172782294264e-29,0.4902170665095391
RPL19,107.68880542366537,9.28983392552427e-29,0.4793992308996733
TMA16,107.60013041443548,9.614292803705322e-29,0.5062526476760587
SPCS3,107.04357461185523,1.1930709192321026e-28,0.43694873064202944
FEN1,106.81774697459538,1.302539147424798e-28,0.5177100471748293
IGKV1-27,104.13145320028275,3.733447657918111e-28,0.4775816502975332
COLGALT1,103.71082603746,4.409242623252586e-28,0.5503551301592904
LAMA2,103.66114456048419,4.496864484498103e-28,0.47097802752808704
SMARCA5,100.21313890316156,1.787030017484298e-27,0.4210444066962271
ANKRD13A,100.18082450546648,1.8105295162161066e-27,0.5051164374094277
GIT2,99.79667156139877,2.115138537760268e-27,0.49795732756188693
CALML5,99.3124590155831,2.5744406129671286e-27,0.41375790068322216
CWF19L1,98.83333754025278,3.128765951706429e-27,0.4741744713923899
