Feature,ANOVA F-value,ANOVA p-value,Mutual Information
FKBP5,151.7165530198261,2.3117306122764198e-35,0.6402124345651952
ARSA,205.43315438190626,8.030199354951232e-42,0.6354929134787677
S100A12,193.6893225524145,1.5891242886323102e-40,0.6271455653832181
SLFN5,165.6176379192235,3.5663447649180426e-37,0.6221749963838721
PODN,191.7119109389932,2.661699707595449e-40,0.6156151493563993
CEACAM7,148.7390554758631,5.84625920594751e-35,0.6154917715351795
WDR77,180.31336843254215,5.631176990007912e-39,0.6142510351102997
FCN3,175.3053940236937,2.2505461931182147e-38,0.6124687354186182
MZB1,155.65961954046873,6.89684556979188e-36,0.6092120171756537
SNX9,162.7626299052624,8.229120816597768e-37,0.6058904523338313
SEC11C,164.8734708789607,4.430420648962932e-37,0.5974885979659326
MRPS36,156.99347916517726,4.6031033604857704e-36,0.5880557047200896
CTBP2,203.16839214639504,1.4136749865492054e-41,0.5805337159911594
ST14,151.1934600701746,2.718502840164155e-35,0.57649977596633
MYO18A,180.79340414626267,4.9381402322657255e-39,0.5720190946318084
RPL23,131.94789020740697,1.4068956922415767e-32,0.5694995606243771
ISG20,157.43574112135732,4.027704671599437e-36,0.5676028862061024
FAHD2A,124.03208260061814,2.193755462820016e-31,0.5578299678316399
DOCK1,123.62857242431426,2.5310929561828006e-31,0.5576841613197205
FKBP11,184.16571035268456,1.97676927258568e-39,0.5533458738676991
FCGBP,124.09177474871481,2.1478787900358446e-31,0.5532050456722954
IGKV1-17,130.8318962127614,2.0585165919686857e-32,0.5510738616231388
COLGALT1,103.71082603746,4.409242623252586e-28,0.5503551301592904
HTATIP2,125.54171257167533,1.2880557167248416e-31,0.5498582448407201
NINJ1,98.39684643873906,3.738865636387822e-27,0.5421910295184
UBA5,143.06301200398923,3.5528847633595903e-34,0.5408438349017932
YTHDF2,94.63571891552559,1.7697933824922344e-26,0.5369395276728928
NCF1,91.44453865360194,6.810045034409594e-26,0.5351290806807041
RPL28,140.1286644141876,9.20528091892829e-34,0.5335410505358968
STAT5A,111.44686458590449,2.2027570558340677e-29,0.5300618645273665
TRAM1,87.47654669848454,3.77914731582353e-25,0.5297677409005075
PRG2,117.7374649657187,2.1156271228301805e-30,0.5292588827942541
RNF213,81.52626872690583,5.368047260173799e-24,0.527598922988676
SPCS1,158.85126617215153,2.631503460081204e-36,0.5248844948598004
IGFBP2,133.7006248787151,7.771654652745419e-33,0.52380720391439
IGHV2-26,109.43738934869091,4.7373624053016615e-29,0.5200047068617732
ZADH2,112.64856349617952,1.399133702520573e-29,0.5192445795429521
FEN1,106.81774697459538,1.302539147424798e-28,0.5177100471748293
TAP1,87.01444322751507,4.6269931886407655e-25,0.5140321502155352
NUCB2,93.5860159794769,2.7488401404267645e-26,0.5134645991398508
DDX46,74.48002961197516,1.4299942374376422e-22,0.5127771679927835
SCLT1,109.47017554045748,4.6782163290241636e-29,0.5113072304314121
AMPD3,110.09584744567128,3.682545428266491e-29,0.5108484282751191
PARP14,80.59822011063744,8.197487283414876e-24,0.5107884803431577
STT3A,78.5768683041013,2.0804450290490588e-23,0.5094819399215558
TMA16,107.60013041443548,9.614292803705322e-29,0.5062526476760587
PEX11B,96.84423421923036,7.072782309533942e-27,0.505366993492445
ANKRD13A,100.18082450546648,1.8105295162161066e-27,0.5051164374094277
